reaction,minimum,maximum
PMEACPE,2.611111111111111e-10,2.6111107173946245e-10
P5CR,3.991270833333333e-05,3.9912708333140704e-05
GLUTRS,6.442222222222222e-07,6.442222222152632e-07
PANTS,1.0400000000003e-07,1.0399998625060998e-07
ADSL2r,7.840262499999909e-05,7.84026250003726e-05
UAGPT3,4.2453888888888895e-06,4.2453888888888895e-06
GART,0.0,2.1123055546311417e-07
ASPO6,2.9107777783531247e-07,2.910777777777472e-07
MOHMT,1.0400000000003e-07,1.0399998625060998e-07
DHDPS,5.049028055555557e-05,5.049028055556205e-05
PRPPS,0.00013215970000000972,0.0001321597000005993
SDPDS,6.800731666666667e-05,6.800731666666499e-05
GLUPRT,7.844164999999905e-05,7.84416500000042e-05
DHNPA2r,1.0778333333333025e-07,1.0778333355182061e-07
KDOPP,7.133866666666668e-06,7.1338666666652e-06
DHORD2,3.675500000012319e-05,3.6754999999996344e-05
GMPS2,3.181847777777779e-05,3.1818477777800564e-05
PRFGS,6.848080555555788e-05,6.848080555554415e-05
PSCVT,4.8698538888888835e-05,4.869853888900903e-05
ADNK1,1.21513889562102e-07,1.2151388883896425e-07
DXPS,3.858750000000449e-07,3.8587499999998913e-07
DBTS,3.611111111111111e-10,3.6111106348682925e-10
SHCHF,3.5927777777777774e-08,3.5927770589725886e-08
UPP3S,5.451111111111111e-08,5.451111111127113e-08
GLUR_reverse,5.017277777777778e-06,5.017277777587105e-06
PSP_L,0.0003149982916667168,0.0003149982916664451
OPMEACPD,2.8333333333333334e-10,2.833333333317312e-10
AMAOTr,2.5555555555555553e-10,2.555554069595524e-10
OPMEACPS,2.722222222222222e-10,2.7222222222099125e-10
OPMEACPR,3.666666666666667e-10,3.666665934861266e-10
HPPK2,1.226499999999896e-07,1.2264996719862337e-07
DTMPK,4.724416666666667e-06,4.7244166666299885e-06
PFK_3,0.00022275333048614568,0.00022275333048558948
UPPDC1,4.088333333333334e-08,4.0883333334427236e-08
DHQTi,5.187453055555556e-05,5.1874530555556735e-05
PERD,3.1591666666666667e-08,3.1591666625906277e-08
RBFSb,8.052777777773418e-08,8.052777777777141e-08
RBFSa,1.6353333333331612e-07,1.6353333333328529e-07
THRS,9.977293333333333e-05,9.977293333331271e-05
QULNS,3.4802777777836405e-07,3.4802769651936946e-07
EPMEACPR,3.611111111111111e-10,3.611110635416758e-10
ASNS2,4.419341666662745e-05,4.4193416666747554e-05
EGMEACPR,3.611111111111111e-10,3.611110635416758e-10
PE160abcpp,8.423433333333333e-06,8.423433333354504e-06
DMPPS,0.0,4.247222195099172e-08
UAGCVT,4.8629000000000005e-06,4.862899999995624e-06
CTPS2,2.8091874999999993e-05,2.8091875000081955e-05
CS,0.0006733055860492352,0.0006733055860416192
TMPK,4.026388888888889e-08,4.026388878482771e-08
ACOAD5f_reverse,6.227899999986804e-05,6.22790000002704e-05
RBFK,3.406944444441414e-08,3.406940922885962e-08
OPHHX,3.035277783847571e-08,3.035277777777642e-08
GLUDy_reverse,0.0015678130416666818,0.0015678130416673622
METS,2.701282500000006e-05,2.7012824999999968e-05
KDOCT2,5.404444444444453e-06,5.404444444442727e-06
U23GAAT,7.025777777777778e-06,7.025777777775347e-06
PAPPT3,5.017277777777778e-06,5.017277777777778e-06
MOCOS,1.7283333333333333e-08,1.7283310613016514e-08
UAGDP,1.0761133333333333e-05,1.0761133333332067e-05
METAT,1.2222777777780617e-07,1.2222777779930646e-07
ADSL1r,5.233147500000514e-05,5.233147500052506e-05
G6PDH2r,0.000577877480902774,0.000577877480903693
BMOCOS,1.7283333333333333e-08,1.7283313059898607e-08
GLU5K,3.3772291666689195e-05,3.377229166666667e-05
AMPMS2,3.1591666666666667e-08,3.159166034720632e-08
ACOAD2f_reverse,6.227899999996642e-05,6.227900000024079e-05
TYRL,3.1591666666666667e-08,3.1591666666666667e-08
NNATr,3.16388888888735e-07,3.1638888914498063e-07
